3510,"Frequency (2000)","2000-04-28","Gregory Hoblit","James Caviezel, Shawn Doyle, Dennis Quaid, Elizabeth Mitchell"
3527,"Predator (1987)","1987-01-01","John McTiernan","Bill Duke, Arnold Schwarzenegger, Carl Weathers, Elpidia Carrillo"
3535,"American Psycho (2000)","2000-04-14","Mary Harron","Christian Bale, Josh Lucas, Bill Sage, Justin Theroux, Chloë Sevigny, Reese Witherspoon, Samantha Mathis, Jared Leto, Willem Dafoe"
3551,"Marathon Man (1976)","1976-10-08","John Schlesinger","Dustin Hoffman, Laurence Olivier,  Roy Scheider, William Devane, Marthe Keller, Fritz Weaver, Richard Bright, Marc Lawrence, Allen Joseph"
3552,"Caddyshack (1980)","1980-07-25","Harold Ramis","Chevy Chase, Rodney Dangerfield, Ted Knight, Bill Murray, Michael O'Keefe"
3556,"Virgin Suicides, The (1999)","2000-04-21","Sofia Coppola","Josh Hartnett, James Woods, Kirsten Dunst, Kathleen Turner"
3578,"Gladiator (2000)","2000-05-05","Ridley Scott","Russell Crowe, Joaquin Phoenix, Oliver Reed, Connie Nielsen, Richard Harris, Derek Jacobi, Djimon Hounsou"
3617,"Road Trip (2000)","2000-05-19","Todd Phillips","Breckin Meyer, Seann William Scott, Amy Smart, Paulo Costanzo, DJ Qualls, Tom Green, Rachel Blanchard, Anthony Rapp, Fred Ward, Andy Dick, Ethan Suplee, Horatio Sanz, Rhoda Griffis, Ellen Albertini Dow, Jessica Cauffiel, Mary Lynn Rajskub, Jimmy Kimmel, Matt Walsh, Cleo King, Vinnie Jones"
3623,"Mission: Impossible II (2000)","2000-05-24","John Woo","Tom Cruise, Dougray Scott, Thandie Newton, Ving Rhames, Rade Serbedzija, Brendan Gleeson, Richard Roxburgh, Dominic Purcell"
3624,"Shanghai Noon (2000)","2000-05-26","Tom Dey","Jackie Chan, Owen Wilson, Lucy Liu, Brandon Merrill"
3671,"Blazing Saddles (1974)","1974-02-07","Mel Brooks","Cleavon Little, Gene Wilder, Slim Pickens, David Huddleston, Madeline Kahn, Harvey Korman"
3683,"Blood Simple (1984)","1985-01-18","Joel Coen","John Getz, Dan Hedaya, M. Emmet Walsh, Frances McDormand"
3702,"Mad Max (1979)","1979-05-09","George Miller","Steve Bisley, Mel Gibson, Hugh Keays-Byrne, Joanne Samuel"
3703,"Road Warrior, The (Mad Max 2) (1981)","1981-12-24","George Miller","Mel Gibson, Bruce Spence"
3717,"Gone in 60 Seconds (2000)","2000-06-09","Dominic Sena","Nicolas Cage, Giovanni Ribisi, Angelina Jolie, T.J. Cross, William Lee Scott, Scott Caan, Robert Duvall, Christopher Eccleston, Vinnie Jones"
3751,"Chicken Run (2000)","2000-06-23","Peter Lord","Phil Daniels, Mel Gibson, Tony Haygarth, Lynn Ferguson, Jane Horrocks, Miranda Richardson, Imelda Staunton"
3752,"Me, Myself & Irene (2000)","2000-06-23","Bobby Farrelly","Jim Carrey, Renée Zellweger, Chris Cooper, Robert Forster, Anthony Anderson, Mongo Brownlee, Jerod Mixon"
3753,"Patriot, The (2000)","2000-06-28","Roland Emmerich","Mel Gibson, Jason Isaacs, Heath Ledger, Joely Richardson, Tchéky Karyo, Chris Cooper, Adam Baldwin"
3785,"Scary Movie (2000)","2000-07-07","Keenen Ivory Wayans","Marlon Wayans, Shawn Wayans, Shannon Elizabeth, Cheri Oteri, Tanja Reichert, Regina Hall, Rick Ducommun, Jon Abrahams, Anna Faris, Carmen Electra"
3793,"X-Men (2000)","2000-07-14","Bryan Singer","Hugh Jackman, Patrick Stewart, Ian McKellen, Famke Janssen, James Marsden, Halle Berry, Anna Paquin, Tyler Mane, Ray Park, Rebecca Romijn, Bruce Davison, Shawn Ashmore, Stan Lee"
3826,"Hollow Man (2000)","2000-08-04","Paul Verhoeven","Elisabeth Shue, Kevin Bacon, Josh Brolin, Kim Dickens, Greg Grunberg, Joey Slotnick, Mary Randle, William Devane, Rhona Mitra, "
3863,"Cell, The (2000)","2000-08-18","Tarsem Singh","Jennifer Lopez, Colton James, Dylan Baker, Marianne Jean-Baptiste, Gerry Becker, Musetta Vander, Patrick Bauchau, Vincent D'Onofrio, Catherine Sutherland, Vince Vaughn, James Gammon, Jake Weber, Dean Norris, Tara Subkoff, John Cothran Jr., Jack Conley, Pruitt Taylor Vince, Jake Thomas, Peter Sarsgaard"
3868,"Naked Gun: From the Files of Police Squad!, The (1988)","1988-12-02","David Zucker","George Kennedy, Ricardo Montalban, Leslie Nielsen, Priscilla Presley, O.J. Simpson"
3882,"Bring It On (2000)","2000-08-25","Peyton Reed","Jesse Bradford, Kirsten Dunst, Eliza Dushku, Gabrielle Union"
3897,"Almost Famous (2000)","2000-09-13","Cameron Crowe","Billy Crudup, Frances McDormand, Kate Hudson, Jason Lee, Patrick Fugit, Zooey Deschanel, Michael Angarano, Anna Paquin, Fairuza Balk, Philip Seymour Hoffman, Noah Taylor, Liz Stauber, Jimmy Fallon, Bijou Phillips, Rainn Wilson, Jay Baruchel, Peter Frampton, Zack Ward, Pete Droge, John Patrick Amedori, Kevin Sussman"
3916,"Remember the Titans (2000)","2000-09-29","Boaz Yakin","Denzel Washington, Will Patton, Wood Harris, Ryan Hurst, Donald Faison, Craig Kirkwood, Ethan Suplee, Kip Pardue, Hayden Panettiere, Nicole Ari Parker, Kate Bosworth, Earl Poitier, Ryan Gosling, Burgess Jenkins, Mike Pniewski, "
3917,"Hellraiser (1987)","1987-09-18","Clive Barker","Doug Bradley, Sean Chapman, Andrew Robinson, Clare Higgins, Ashley Laurence"
3948,"Meet the Parents (2000)","2000-10-06","Jay Roach","Robert De Niro, Ben Stiller, Blythe Danner, Teri Polo, Owen Wilson, James Rebhorn, Thomas McCarthy"
3949,"Requiem for a Dream (2000)","2000-10-06","Darren Aronofsky","Jared Leto, Marlon Wayans, Ellen Burstyn, Jennifer Connelly"
3967,"Billy Elliot (2000)","2000-10-13","Stephen Daldry","Jamie Bell, Jamie Draven, Gary Lewis, Julie Walters, Jean Heywood"
3968,"Bedazzled (2000)","2000-10-20","Harold Ramis","Brendan Fraser, Elizabeth Hurley, Frances O'Connor, Miriam Shor"
3969,"Pay It Forward (2000)","2000-10-20","Mimi Leder","Jay Mohr, Haley Joel Osment, Kevin Spacey, Helen Hunt"
3977,"Charlie's Angels (2000)","2000-11-03","McG","Bill Murray, Drew Barrymore, Cameron Diaz, Lucy Liu, Sam Rockwell, Kelly Lynch, Tim Curry, Crispin Glover, Luke Wilson, John Forsythe"
3979,"Little Nicky (2000)","2000-11-10","Steven Brill","Adam Sandler, Patricia Arquette, Harvey Keitel, Rhys Ifans, Tom 'Tiny' Lister Jr., Rodney Dangerfield, Allen Covert, Peter Dante, Jonathan Loughran, Robert Smigel, Reese Witherspoon, Dana Carvey, Jon Lovitz, Kevin Nealon, Michael McKean, Quentin Tarantino, Carl Weathers, Blake Clark, Rob Schneider, John Witherspoon, Clint Howard, Frank Sivero, George Wallace, Laura Harring, Erinn Bartlett, Henry Winkler, Ozzy Osbourne, Bill Walton, Regis Philbin, John Farley, Dan Marino"
3980,"Men of Honor (2000)","2000-11-10","George Tillman Jr.","Robert De Niro, Cuba Gooding Jr., Aunjanue Ellis, Charlize Theron"
3986,"6th Day, The (2000)","2000-11-17","Roger Spottiswoode","Arnold Schwarzenegger, Michael Rapaport, Tony Goldwyn, Michael Rooker, Sarah Wynter, Wendy Crewson, Rodney Rowland, Terry Crews, Colin Cunningham, Robert Duvall, Jennifer Gareis, Don McManus, Christopher Lawford, Ellie Harvie, Don S. Davis, Gillian Barber"
3988,"How the Grinch Stole Christmas (a.k.a. The Grinch) (2000)","2000-11-17","Ron Howard","Jim Carrey, Jeffrey Tambor, Molly Shannon, Christine Baranski, Taylor Momsen, Bill Irwin"
3994,"Unbreakable (2000)","2000-11-22","M. Night Shyamalan","Bruce Willis, Samuel L. Jackson, Spencer Treat Clark, Robin Wright Penn"
3996,"Crouching Tiger, Hidden Dragon (Wo hu cang long) (2000)","2000-12-22","Ang Lee","Chow Yun-Fat, Michelle Yeoh, Ziyi Zhang, Chen Chang, Sihung Lung, Pei-pei Cheng"
4002,"Planes, Trains & Automobiles (1987)","1987-11-25","John Hughes","John Candy, Steve Martin, Michael McKean, Laila Robins, Kevin Bacon"
4007,"Wall Street (1987)","1987-12-11","Oliver Stone","Charlie Sheen, Michael Douglas, Tamara Tunie"
4011,"Snatch (2000)","2000-12-06","Guy Ritchie","Benicio Del Toro, Dennis Farina, Vinnie Jones, Brad Pitt, Rade Serbedzija, Jason Statham, Alan Ford, Mike Reid, Robbie Gee, Lennie James, Ewen Bremner, Jason Flemyng, Stephen Graham"
4014,"Chocolat (2000)","2000-12-15","Lasse Hallström","Juliette Binoche, Lena Olin, Johnny Depp, Judi Dench, Alfred Molina, Peter Stormare, Carrie-Anne Moss"
4015,"Dude, Where's My Car? (2000)","2000-12-15","Danny Leiner","Ashton Kutcher, Seann William Scott, Jennifer Garner, Marla Sokoloff, Kristy Swanson, David Herman, Hal Sparks, Charlie O'Connell, Bob Clendenin, Mary Lynn Rajskub, Michael Bower, Christopher Darga, Cleo King, Fabio, Andy Dick, Brent Spiner, Michael Shamus Wiles"
4016,"Emperor's New Groove, The (2000)","2000-12-15","Mark Dindal","David Spade, John Goodman, Eartha Kitt, Patrick Warburton"
4018,"What Women Want (2000)","2000-12-15","Nancy Meyers","Alan Alda, Mel Gibson, Helen Hunt, Marisa Tomei, Ashley Johnson, Lauren Holly"
4019,"Finding Forrester (2000)","2000-12-19","Gus Van Sant","F. Murray Abraham, Rob Brown, Sean Connery, Anna Paquin, Busta Rhymes, Michael Pitt"
4022,"Cast Away (2000)","2000-12-22","Robert Zemeckis","Tom Hanks, Chris Noth, Nick Searcy, Helen Hunt"
4023,"Family Man, The (2000)","2000-12-22","Brett Ratner","Nicolas Cage, Don Cheadle, Jeremy Piven, Téa Leoni"
4025,"Miss Congeniality (2000)","2000-12-22","Donald Petrie","Benjamin Bratt, Michael Caine, Candice Bergen, Sandra Bullock"
4027,"O Brother, Where Art Thou? (2000)","2000-12-22","Joel Coen","George Clooney, John Goodman, Tim Blake Nelson, John Turturro"
4034,"Traffic (2000)","2000-12-27","Steven Soderbergh","Benicio Del Toro, Jacob Vargas, Andrew Chavez, Michael Saucedo, Emilio Rivera, Michael Douglas, James Lew, Luis Guzmán, Don Cheadle, Gary Carlos Cervantes, Miguel Ferrer, Topher Grace, Erika Christensen, Catherine Zeta-Jones, Rena Sofer, Stacey Travis, Albert Finney, D.W. Moffett, James Brolin, Barbara Boxer, Steven Bauer, Amy Irving, Dennis Quaid, Clifton Collins Jr., Peter Riegert, John Slattery, Thomas Rosales Jr., Vonte Sweet, Yul Vazquez, Jack Conley, Eddie Velez, Mary Pat Gleason, Benjamin Bratt, Jsu Garcia, Salma Hayek"
4085,"Beverly Hills Cop (1984)","1984-12-01","Martin Brest","John Ashton, Eddie Murphy, Judge Reinhold, Lisa Eilbacher, Bronson Pinchot"
4105,"Evil Dead, The (1981)","1981-10-15","Sam Raimi","Bruce Campbell, Hal Delrich, Betsy Baker, Ellen Sandweiss"
4128,"Lost Boys, The (1987)","1987-07-31","Joel Schumacher","Corey Haim, Barnard Hughes, Jason Patric, Dianne Wiest, Kiefer Sutherland, Corey Feldman, Alex Winter, Jami Gertz, Edward Herrmann"
4144,"In the Mood For Love (Fa yeung nin wa) (2000)","2001-02-02","Wong Kar-wai","Tony Leung Chiu Wai, Maggie Cheung, Ping Lam Siu, Tung Cho 'Joe' Cheung, Rebecca Pan"
4148,"Hannibal (2001)","2001-02-09","Ridley Scott","Anthony Hopkins, Julianne Moore, Gary Oldman, Ray Liotta, Frankie Faison, Giancarlo Giannini, Francesca Neri, Zeljko Ivanek, Hazelle Goodman, David Andrews, Mark Margolis, Ajay Naidu, "
4223,"Enemy at the Gates (2001)","2001-03-16","Jean-Jacques Annaud","Jude Law, Ed Harris, Rachel Weisz, Joseph Fiennes, Bob Hoskins, Ron Perlman, Werner Daehn, Birol Ünel, "
4226,"Memento (2000)","2001-03-16","Christopher Nolan","Guy Pearce, Carrie-Anne Moss, Joe Pantoliano"
4232,"Spy Kids (2001)","2001-03-30","Robert Rodriguez","Antonio Banderas, Alan Cumming, Daryl Sabara, Carla Gugino, Alexa Vega"
4235,"Amores Perros (Love's a Bitch) (2000)","2001-03-30","Alejandro González Iñárritu","Emilio Echevarría, Gael García Bernal, Goya Toledo, Álvaro Guerrero, Vanessa Bauche"
4239,"Blow (2001)","2001-04-06","Ted Demme","Johnny Depp, Penélope Cruz, Franka Potente, Rachel Griffiths, Paul Reubens, Jordi Mollà, Cliff Curtis, Miguel Sandoval, Ethan Suplee, Ray Liotta, Kevin Gage, Max Perlich, Tony Amendola, Bobcat Goldthwait, Emma Roberts, Jaime King, Kevin Chapman, Nick Cassavetes, "
4246,"Bridget Jones's Diary (2001)","2001-04-13","Sharon Maguire","Renée Zellweger, Hugh Grant, Colin Firth, Shirley Henderson, Sally Phillips, James Callis, James Faulkner, Celia Imrie, Gemma Jones, Embeth Davidtz"
4262,"Scarface (1983)","1983-12-09","Brian De Palma","Steven Bauer, Al Pacino, Mary Elizabeth Mastrantonio, Michelle Pfeiffer"
4270,"Mummy Returns, The (2001)","2001-05-04","Stephen Sommers","Brendan Fraser, Dwayne Johnson, John Hannah, Arnold Vosloo, Rachel Weisz, Oded Fehr, Patricia Velasquez"
4299,"Knight's Tale, A (2001)","2001-05-11","Brian Helgeland","Heath Ledger, Paul Bettany, Rufus Sewell, Shannyn Sossamon, Laura Fraser, Mark Addy, Alan Tudyk"
4306,"Shrek (2001)","2001-05-18","Andrew Adamson","Mike Myers, Eddie Murphy, Cameron Diaz, John Lithgow, Vincent Cassel, Jim Cummings, Chris Miller"
4308,"Moulin Rouge (2001)","2001-06-01","Baz Luhrmann","Nicole Kidman, Ewan McGregor, John Leguizamo, Jim Broadbent, Richard Roxburgh, David Wenham, Kylie Minogue, Ozzy Osbourne, Plácido Domingo, "
4310,"Pearl Harbor (2001)","2001-05-25","Michael Bay","Ben Affleck, Josh Hartnett, Kate Beckinsale, Cuba Gooding Jr., Jon Voight, Alec Baldwin, Tom Sizemore, William Lee Scott, Ewen Bremner, Jaime King, Jennifer Garner, Sara Rue, Michael Shannon, Dan Aykroyd, Colm Feore, Mako, Cary-Hiroyuki Tagawa, William Fichtner, Brian Haley, Scott Wilson, Tom Everett, Tomas Arana, Beth Grant, Sung Kang, Yuji Okumoto, Michael Milhoan, Peter Firth, John Diehl, Ted McGinley, Madison Mason, Kim Coates, Eric Christian Olsen, Michael Shamus Wiles, David Kaufman, Guy Torry, Leland Orser, Daniel Mays, Toshi Toda"
4344,"Swordfish (2001)","2001-06-08","Dominic Sena","Hugh Jackman, John Travolta, Halle Berry, Don Cheadle, Sam Shepard, Vinnie Jones, Drea de Matteo"
4351,"Point Break (1991)","1991-01-01","Kathryn Bigelow","Gary Busey, Keanu Reeves, Patrick Swayze, Lori Petty"
4361,"Tootsie (1982)","1982-12-17","Sydney Pollack","Dustin Hoffman, Jessica Lange, Teri Garr, Dabney Coleman, Charles Durning"
4366,"Atlantis: The Lost Empire (2001)","2001-06-15","Gary Trousdale","Corey Burton, Michael J. Fox, James Garner, Claudia Christian"
4367,"Lara Croft: Tomb Raider (2001)","2001-06-15","Simon West","Iain Glen, Noah Taylor, Jon Voight, Angelina Jolie"
4369,"Fast and the Furious, The (2001)","2001-06-22","Rob Cohen","Vin Diesel, Paul Walker, Jordana Brewster, Michelle Rodriguez"
4370,"A.I. Artificial Intelligence (2001)","2001-06-29","Steven Spielberg","Haley Joel Osment, Frances O'Connor, Sam Robards, Jake Thomas, Jude Law, William Hurt, Ashley Scott, Brendan Gleeson"
4388,"Scary Movie 2 (2001)","2001-07-04","Keenen Ivory Wayans","Veronica Cartwright, Andy Richter, Natasha Lyonne, Robert Schimmel, James Woods, Anna Faris, Marlon Wayans, Christopher Masterson, Shawn Wayans, James DeBello, Regina Hall, Tori Spelling, Tim Curry, David Cross, Kathleen Robertson, Colleen Fitzpatrick, Chris Elliott, Suli McCullough, Richard Moll, Beetlejuice,"
4437,"Suspiria (1977)","1977-08-12","Dario Argento","Jessica Harper, Alida Valli, Joan Bennett, Udo Kier, Miguel Bosé, Flavio Bucci, Stefania Casini"
4446,"Final Fantasy: The Spirits Within (2001)","2001-07-11","Hironobu Sakaguchi","Alec Baldwin, Steve Buscemi, Ving Rhames, Ming-Na, Peri Gilpin, Donald Sutherland, James Woods"
4447,"Legally Blonde (2001)","2001-07-13","Robert Luketic","Matthew Davis, Luke Wilson, Selma Blair, Reese Witherspoon"
4489,"Coming to America (1988)","1988-06-29","John Landis","John Amos, Arsenio Hall, James Earl Jones, Eddie Murphy, Madge Sinclair, Shari Headley"
4519,"Land Before Time, The (1988)","1988-11-18","Don Bluth","Gabriel Damon, Will Ryan, Judith Barsi, Candace Hutson"
4553,"They Live (1988)","1988-11-04","John Carpenter","Roddy Piper, Keith David, Meg Foster, George 'Buck' Flower"
4558,"Twins (1988)","1988-12-09","Ivan Reitman","Arnold Schwarzenegger, Danny DeVito, Kelly Preston, Chloe Webb, Bonnie Bartlett, Trey Wilson, Marshall Bell, David Caruso, Hugh O'Brian, Nehemiah Persoff, Maury Chaykin, Tony Jay, Tom McCleister, Robert Harper, Richard Portnow, Cary-Hiroyuki Tagawa, Wayne Grace, Sven-Ole Thorsen, Heather Graham"
4571,"Bill & Ted's Excellent Adventure (1989)","1989-02-17","Stephen Herek","Keanu Reeves, Alex Winter, George Carlin, Terry Camilleri"
4638,"Jurassic Park III (2001)","2001-07-18","Joe Johnston","Sam Neill, William H. Macy, Téa Leoni, Alessandro Nivola, Trevor Morgan, Michael Jeter, John Diehl, Laura Dern, Taylor Nichols, Mark Harelik, Julio Oscar Mechoso, Bruce French"
4641,"Ghost World (2001)","2001-07-20","Terry Zwigoff","Thora Birch, Scarlett Johansson, Steve Buscemi, Brad Renfro, Illeana Douglas, Bob Balaban, Stacey Travis, Dave Sheridan, Tom McGowan, Debra Azar, Brian George, Pat Healy, T.J. Thyne, Ezra Buzzington, Lindsey Girardot, David Cross, Patrick Fischler, Matt Doherty, Teri Garr, "
4643,"Planet of the Apes (2001)","2001-07-27","Tim Burton","Michael Clarke Duncan, Tim Roth, Mark Wahlberg, Helena Bonham Carter, Paul Giamatti, Estella Warren, Kris Kristofferson, Erick Avari"
4700,"Princess Diaries, The (2001)","2001-08-03","Garry Marshall","Julie Andrews, Anne Hathaway, Hector Elizondo, Heather Matarazzo, Mandy Moore, Caroline Goodall, Robert Schwartzman, Erik von Detten, Patrick John Flueger, Sean O'Bryan, Sandra Oh, Mindy Burbano, Joel McCrary, Bonnie Aarons, Sandra Taylor, Rene Auberjonois, Larry Miller"
4701,"Rush Hour 2 (2001)","2001-08-03","Brett Ratner","Chris Tucker, Jackie Chan, John Lone, Ziyi Zhang"
4713,"Altered States (1980)","1980-12-25","Ken Russell","William Hurt, Blair Brown, Bob Balaban, Charles Haid, Drew Barrymore, Francis X. McCarthy, Evan Richards, John Larroquette"
4718,"American Pie 2 (2001)","2001-08-10","James B. Rogers","Jason Biggs, Chris Klein, Shannon Elizabeth, Alyson Hannigan, Seann William Scott, Mena Suvari, Eddie Kaye Thomas, Thomas Ian Nicholas, Natasha Lyonne, Tara Reid"
4720,"Others, The (2001)","2001-08-10","Alejandro Amenábar","Nicole Kidman, James Bentley, Fionnula Flanagan, Alakina Mann, Christopher Eccleston"
4728,"Rat Race (2001)","2001-08-17","Jerry Zucker","Cuba Gooding Jr., Breckin Meyer, Jenica Bergere, Lanei Chapman, Carrie Diamond"
4734,"Jay and Silent Bob Strike Back (2001)","2001-08-24","Kevin Smith","Jason Mewes, Kevin Smith, Ben Affleck, Jeff Anderson, Brian O'Halloran, Shannon Elizabeth, Eliza Dushku, Ali Larter, Jennifer Schwalbach, Will Ferrell, Jason Lee, Judd Nelson, George Carlin, Carrie Fisher, Seann William Scott, Jon Stewart, Jules Asner, Steve Kmetko, Tracy Morgan, Gus Van Sant, Chris Rock, Jamie Kennedy, Wes Craven, Shannen Doherty, Mark Hamill, Marc Blucas, Diedrich Bader, Joseph D. Reitman, Joey Lauren Adams, Dwight Ewell, Alanis Morissette, Jason Biggs, Matt Damon, James Van Der Beek"
4754,"Wicker Man, The (1973)","1975-06-01","Robin Hardy","Christopher Lee, Edward Woodward, Diane Cilento, Britt Ekland, Ingrid Pitt, Russell Waters"
4776,"Training Day (2001)","2001-10-05","Antoine Fuqua","Denzel Washington, Ethan Hawke, Scott Glenn, Tom Berenger, Harris Yulin, Raymond J. Barry, Cliff Curtis, Dr. Dre, Snoop Dogg, Macy Gray, Charlotte Ayanna, Eva Mendes, Nick Chinlund, Raymond Cruz, Noel Gugliemi, Samantha Esteban, Denzel Whitaker, Terry Crews, Peter Greene"
4816,"Zoolander (2001)","2001-09-28","Ben Stiller","Ben Stiller, Owen Wilson, Christine Taylor, Will Ferrell, Milla Jovovich, Jerry Stiller, David Duchovny, Jon Voight, Judah Friedlander, Nathan Lee Graham, Alexander Skarsgård, Donald Trump, Christian Slater, Tom Ford, Cuba Gooding Jr., Steve Kmetko, Tommy Hilfiger, Natalie Portman, Fabio, Lenny Kravitz, Gwen Stefani, Heidi Klum, Mark Ronson, Paris Hilton, David Bowie, Tyson Beckford, Fred Durst, Lance Bass, L'il Kim, Garry Shandling, Claudia Schiffer, Veronica Webb, Lukas Haas, Carmen Kass, Frankie Rayder, Pauly J, Stevie D, Justin Theroux, Andy Dick, Andrew Wilson, Shavo Odadjian, Jennifer Coolidge, Tony Kanal, Nora Dunn, James Marsden, Patton Oswalt, Godfrey, Victoria Beckham, Sandra Bernhard, Emma Bunton, Stephen Dorff, Karl Lagerfeld, Gavin Rossdale, Winona Ryder, Melania Trump, Vince Vaughn, Billy Zane"
4823,"Serendipity (2001)","2001-10-05","Peter Chelsom","Abdul Alshawish, John Cusack, Michael Guarino Jr., Lilli Lavine, Kate Beckinsale"
4848,"Mulholland Drive (2001)","2001-10-12","David Lynch","Naomi Watts, Laura Harring, Ann Miller, Dan Hedaya, Justin Theroux, Brent Briscoe, Robert Forster, Katharine Towne, Lee Grant, Billy Ray Cyrus, Lori Heuring, Angelo Badalamenti, Melissa George, Mark Pellegrino"
4855,"Dirty Harry (1971)","1971-12-23","Don Siegel","Clint Eastwood, Harry Guardino, Reni Santoni, John Vernon, Andrew Robinson"
4865,"From Hell (2001)","2001-10-19","Albert Hughes","Johnny Depp, Heather Graham, Robbie Coltrane, Ian Holm, Katrin Cartlidge, Jason Flemyng"
4873,"Waking Life (2001)","2001-10-19","Richard Linklater","Wiley Wiggins, Ethan Hawke, Julie Delpy, Adam Goldberg, Nicky Katt, Richard Linklater"
4874,"K-PAX (2001)","2001-10-26","Iain Softley","Jeff Bridges, Kevin Spacey, Mary McCormack, Alfre Woodard"
4878,"Donnie Darko (2001)","2001-10-28","Richard Kelly","Jake Gyllenhaal, Holmes Osborne, Daveigh Chase, Maggie Gyllenhaal, Mary McDonnell, Patrick Swayze"
4886,"Monsters, Inc. (2001)","2001-11-02","Pete Docter","Steve Buscemi, James Coburn, Billy Crystal, John Goodman, Mary Gibbs, Jennifer Tilly, John Ratzenberger"
4887,"One, The (2001)","2001-11-02","James Wong","Jet Li, Carla Gugino, Delroy Lindo, Jason Statham"
4890,"Shallow Hal (2001)","2001-11-09","Bobby Farrelly","Jack Black,Gwyneth Paltrow,Jason Alexander,Joe Viterelli,Rene Kirby,Bruce McGill,Anthony Robbins,Susan Ward,Zen Gesner,Brooke Burns,Rob Moran,Kyle Gass,Laura Kightlinger,Nan Martin,Erinn Bartlett,Daniel Greene,Sascha Knopf,Darius Rucker,Sayed Badreya,Molly Shannon"
4896,"Harry Potter and the Sorcerer's Stone (a.k.a. Harry Potter and the Philosopher's Stone) (2001)","2001-11-16","Chris Columbus","Daniel Radcliffe, Emma Watson, Rupert Grint, Richard Harris, Maggie Smith, Robbie Coltrane, Alan Rickman, John Cleese, Tom Felton, David Bradley, Richard Griffiths, Julie Walters, Ian Hart"
4901,"Spy Game (2001)","2001-11-21","Tony Scott","Stephen Dillane, Brad Pitt, Robert Redford, Catherine McCormack"
4963,"Ocean's Eleven (2001)","2001-12-07","Steven Soderbergh","George Clooney, Bernie Mac, Brad Pitt, Elliott Gould, Casey Affleck, Scott Caan, Carl Reiner, Matt Damon, Andy Garcia, Julia Roberts, Don Cheadle"
4973,"Amelie (Fabuleux destin d'Amélie Poulain, Le) (2001)","2001-11-16","Jean-Pierre Jeunet","Audrey Tautou, Mathieu Kassovitz"
4974,"Not Another Teen Movie (2001)","2001-12-14","Joel Gallen","Chyler Leigh, Chris Evans, Jaime Pressly, Eric Christian Olsen, Mia Kirshner, Deon Richmond, Eric Jungmann, Sam Huntington, Joanna Garcia, Lacey Chabert, Samm Levine, Cerina Vincent, Ed Lauter, Paul Gleason, Mr. T, Molly Ringwald, Randy Quaid, Michael Ensign, George Wyner, James Read, Rob Benedict, Jim Wise, Melissa Joan Hart, Sean Patrick Thomas"
4975,"Vanilla Sky (2001)","2001-12-14","Cameron Crowe","Tom Cruise, Kurt Russell, Penélope Cruz, Cameron Diaz"
4979,"Royal Tenenbaums, The (2001)","2001-12-14","Wes Anderson","Gene Hackman, Anjelica Huston, Ben Stiller, Gwyneth Paltrow, Luke Wilson, Owen Wilson, Bill Murray, Danny Glover, Seymour Cassel, Alec Baldwin"
4992,"Kate & Leopold (2001)","2001-12-25","James Mangold","Hugh Jackman, Breckin Meyer, Liev Schreiber, Meg Ryan"
4993,"Lord of the Rings: The Fellowship of the Ring, The (2001)","2001-12-19","Peter Jackson","Sean Astin, Cate Blanchett, Orlando Bloom, Ian Holm, Christopher Lee, Ian McKellen, Viggo Mortensen, Elijah Wood, Sean Bean, Billy Boyd, Dominic Monaghan, John Rhys-Davies, Andy Serkis, Liv Tyler, Hugo Weaving, Marton Csokas"
4995,"Beautiful Mind, A (2001)","2002-01-04","Ron Howard","Russell Crowe, Jennifer Connelly, Ed Harris, Paul Bettany, Adam Goldberg, Christopher Plummer,"
5010,"Black Hawk Down (2001)","2001-12-28","Ridley Scott","Eric Bana, Josh Hartnett, Ewan McGregor, Tom Sizemore, William Fichtner, Sam Shepard, Jeremy Piven, Orlando Bloom, Hugh Dancy, Ewan Bremmner"
5014,"I Am Sam (2001)","2001-12-28","Jessie Nelson","Sean Penn, Dakota Fanning, Michelle Pfeiffer, Dianne Wiest"
5015,"Monster's Ball (2001)","2001-12-26","Marc Forster","Billy Bob Thornton, Halle Berry, Heath Ledger, Peter Boyle, Mos Def, Taylor Simpson, Gabrielle Witcher, Sean 'P. Diddy' Combs"
5049,"48 Hrs. (1982)","1982-12-08","Walter Hill","Nick Nolte, Eddie Murphy, Annette O'Toole, Frank McRae, James Remar"
5064,"The Count of Monte Cristo (2002)","2002-01-25","Kevin Reynolds","James Caviezel, Guy Pearce, Richard Harris, James Frain, Dagmara Dominczyk"
5103,"Sandlot, The (1993)","1993-04-07","David M. Evans","Tom Guiry, Chauncey Leopardi, Patrick Renna, Mike Vitar, Denis Leary, Karen Allen, James Earl Jones"
5110,"Super Troopers (2001)","2002-02-15","Jay Chandrasekhar","Joey Kern, Geoffrey Arend, Erik Stolhanske, Jay Chandrasekhar, Steve Lemme, Kevin Heffernan, Paul Soter, Marisa Coughlan, Daniel von Bargen, Brian Cox, Jim Gaffigan, Lynda Carter"
5128,"Queen of the Damned (2002)","2002-02-22","Michael Rymer","Aaliyah, Stuart Townsend, Marguerite Moreau, Vincent Perez, Lena Olin"
